index,word,frequency
803,"przyjaciel",21119
804,"michael",21102
805,"tymi",21099
806,"złe",21079
807,"mogli",20933
808,"synu",20891
809,"powiedziałam",20832
810,"szkoda",20706
811,"całym",20702
812,"żaden",20625
813,"taa",20625
814,"trzech",20525
815,"wami",20517
816,"pracuje",20465
817,"faceta",20464
818,"sprawdzić",20375
819,"pogadać",20359
820,"serca",20341
821,"you",20326
822,"kraju",20288
823,"dał",20269
824,"trudno",20265
825,"drugiej",20237
826,"zaczyna",20197
827,"brak",20157
828,"choć",20152
829,"powinnam",20132
830,"ruszać",20126
831,"chciałabym",20099
832,"cicho",20099
833,"samego",20075
834,"dziewczynę",20062
835,"godzinę",20018
836,"piękna",19954
837,"jakąś",19935
838,"tom",19926
839,"www",19870
840,"widzenia",19865
841,"spotkać",19848
842,"pracować",19835
843,"żadnej",19786
844,"pa",19752
845,"spróbuj",19726
846,"znać",19692
847,"ciała",19687
848,"przyjaciół",19684
849,"razu",19655
850,"zapomnij",19631
851,"harry",19610
852,"najlepszy",19596
853,"ostatnie",19567
854,"policji",19566
855,"otwórz",19539
856,"problemy",19509
857,"ojcem",19467
858,"przykład",19430
859,"myśleć",19409
860,"głupi",19333
861,"wolno",19326
862,"słyszałeś",19305
863,"powodzenia",19300
864,"rodzina",19280
865,"pomoże",19280
866,"kilku",19257
867,"uwagę",19239
868,"muszą",19235
869,"chwila",19217
870,"jakaś",19213
871,"zdjęcie",19119
872,"środka",19118
873,"nowym",19109
874,"szefie",19105
875,"odejść",19063
876,"wspólnego",19059
877,"musiałem",19029
878,"sami",19019
879,"ziemię",19017
880,"dawno",18961
881,"będziecie",18923
882,"trzymać",18902
883,"pracuję",18892
884,"pewnego",18890
885,"inni",18867
886,"gotowi",18855
887,"sześć",18790
888,"głowie",18786
889,"zabierz",18784
890,"sekund",18739
891,"zmienić",18731
892,"zabiję",18728
893,"czekać",18714
894,"gość",18695
895,"walczyć",18692
896,"chwileczkę",18643
897,"wystarczająco",18597
898,"musicie",18591
899,"dasz",18571
900,"tysięcy",18517
901,"pierwsza",18503
902,"zadzwonić",18482
903,"rady",18475
904,"prawdopodobnie",18465
905,"zostawić",18440
906,"niestety",18436
907,"zobacz",18426
908,"nagle",18421
909,"wezmę",18393
910,"zabawne",18389
911,"żonę",18380
912,"panem",18378
913,"większość",18299
914,"wracam",18253
915,"joe",18195
916,"wiedziałam",18175
917,"brata",18136
918,"często",18084
919,"powie",18065
920,"dobrym",18047
921,"tyłu",18043
922,"błąd",17999
923,"boję",17991
924,"cel",17987
925,"rany",17953
926,"mówiłam",17936
927,"wasze",17906
928,"niczym",17894
929,"obiecuję",17890
930,"początku",17885
931,"historia",17877
932,"chciałeś",17857
933,"uwaga",17801
934,"gotowa",17796
935,"zacząć",17781
936,"zatem",17741
937,"tony",17715
938,"istnieje",17686
939,"jednej",17667
940,"pokazać",17651
941,"nikomu",17636
942,"jakim",17609
943,"rodzice",17594
944,"okay",17588
945,"szkole",17587
946,"czuje",17557
947,"los",17499
948,"george",17485
949,"david",17481
950,"obok",17478
951,"uspokój",17472
952,"chodźcie",17463
953,"miało",17452
954,"całkowicie",17437
955,"stój",17426
956,"wiadomości",17399
957,"pomyślałem",17374
958,"nogi",17348
959,"org",17336
960,"ulicy",17330
961,"matki",17330
962,"fbi",17320
963,"jedź",17285
964,"wojny",17263
965,"ciągu",17261
966,"okazji",17257
967,"zadzwonię",17255
968,"około",17208
969,"ojcze",17201
970,"samym",17179
971,"uważam",17176
972,"miłości",17169
973,"mike",17160
974,"przyszedł",17141
975,"tygodniu",17136
976,"prawdziwe",17128
977,"zadzwoń",17127
978,"widać",17122
979,"myśl",17121
980,"pozwolić",17119
981,"słyszę",17112
982,"wracać",17110
983,"dajcie",17109
984,"historii",17096
985,"http",17073
986,"zajmę",17013
987,"wieku",17011
988,"jedynie",17011
989,"zamiast",16965
990,"jakiegoś",16951
991,"umrzeć",16915
992,"wróci",16909
993,"przyjdzie",16863
994,"łatwo",16857
995,"siostra",16854
996,"oraz",16853
997,"prawdziwy",16842
998,"czyż",16835
999,"następny",16712
1000,"proste",16711
1001,"rodzinę",16702
1002,"uważasz",16699
1003,"córka",16684
1004,"piękne",16637
1005,"dłużej",16597
1006,"mężczyzna",16582
1007,"przyjacielem",16549
1008,"chryste",16512
1009,"niedługo",16453
1010,"tyłek",16446
1011,"złego",16292
1012,"james",16282
1013,"kupić",16271
1014,"takiej",16238
1015,"póki",16222
1016,"osób",16220
1017,"powiedziałaś",16213
1018,"pytania",16192
1019,"niby",16184
1020,"włosy",16182
1021,"nienawidzę",16181
1022,"boli",16116
1023,"moment",16115
1024,"wrócił",16080
1025,"znajdę",16076
1026,"przysięgam",16072
1027,"stan",16063
1028,"strasznie",16055
1029,"potrafię",16019
1030,"daje",16009
1031,"zrobiła",15888
1032,"spokoju",15874
1033,"ben",15874
1034,"spróbować",15849
1035,"męża",15848
1036,"górze",15840
1037,"wyboru",15834
1038,"szukam",15777
1039,"mówiła",15774
1040,"kobietą",15755
1041,"dowiedzieć",15671
1042,"znaleźliśmy",15638
1043,"żartujesz",15635
1044,"and",15599
1045,"znajdziemy",15592
1046,"bracie",15591
1047,"mieszka",15584
1048,"najlepiej",15577
1049,"najlepsze",15542
1050,"przyjaciele",15540
1051,"kapitan",15532
1052,"dziewczyną",15500
1053,"wstawaj",15500
1054,"dziecka",15478
1055,"uwielbiam",15414
1056,"następnym",15380
1057,"zła",15351
1058,"ludźmi",15295
1059,"kocha",15287
1060,"zatrzymaj",15281
1061,"twarzy",15269
1062,"tygodnie",15262
1063,"ludziom",15253
1064,"robił",15245
1065,"światło",15230
1066,"jorku",15223
1067,"milionów",15216
1068,"kochasz",15216
1069,"zwykle",15208
1070,"rozkaz",15194
1071,"odpowiedź",15160
1072,"znalazł",15148
1073,"niezły",15146
1074,"nigdzie",15094
1075,"oboje",15069
1076,"odkąd",15064
1077,"ponownie",15029
1078,"same",15018
1079,"walki",14990
1080,"głos",14980
1081,"duży",14941
1082,"uciec",14931
1083,"zająć",14928
1084,"pewnością",14921
1085,"widzi",14905
1086,"szpitala",14893
1087,"mogłeś",14893
1088,"bogu",14882
1089,"samolot",14846
1090,"powód",14842
1091,"panno",14835
1092,"centrum",14809
1093,"świetny",14805
1094,"żony",14800
1095,"młody",14771
1096,"tacy",14770
1097,"stoi",14765
1098,"wreszcie",14750
1099,"hotelu",14719
1100,"wielka",14699
1101,"zobaczysz",14659
1102,"mimo",14634
1103,"jakiego",14631
1104,"seks",14610
1105,"próbuję",14577
1106,"dostaniesz",14577
1107,"obawiam",14565
1108,"interes",14544
1109,"ogień",14535
1110,"reszta",14525
1111,"pasuje",14524
1112,"wasz",14517
1113,"niektórzy",14516
1114,"powinna",14513
1115,"sen",14493
1116,"grać",14468
1117,"wojna",14456
1118,"dostał",14452
1119,"mocy",14446
1120,"moglibyśmy",14412
1121,"potrafi",14389
1122,"pamiętaj",14384
1123,"uciekaj",14368
1124,"słychać",14348
1125,"samej",14340
1126,"gościa",14332
1127,"ból",14330
1128,"znaczenia",14329
1129,"kolację",14319
1130,"robotę",14310
1131,"patrzcie",14306
1132,"zrobiłam",14293
1133,"stamtąd",14290
1134,"uważa",14280
1135,"przestać",14272
1136,"każdej",14249
1137,"zrozumieć",14244
1138,"szczerze",14226
1139,"zabije",14214
1140,"wspaniałe",14213
1141,"powstrzymać",14203
1142,"resztę",14187
1143,"fajnie",14186
1144,"łóżka",14141
1145,"śmieszne",14129
1146,"przyjacielu",14125
1147,"pewne",14118
1148,"tygodni",14117
1149,"pies",14106
1150,"celu",14100
1151,"przyszłość",14082
1152,"jedzenie",14082
1153,"twoi",14062
1154,"system",14055
1155,"nieprawda",14044
1156,"poszedł",14025
1157,"gotowe",14010
1158,"martwy",13989
1159,"musieli",13982
1160,"otworzyć",13972
1161,"pokażę",13960
1162,"biura",13918
1163,"dzieckiem",13915
1164,"przyjaciółmi",13908
1165,"facetem",13899
1166,"mocno",13894
1167,"pytań",13888
1168,"zamierzam",13881
1169,"puść",13878
1170,"kobietę",13850
1171,"siły",13840
1172,"kolejny",13828
1173,"części",13827
1174,"minuty",13825
1175,"ciekawe",13799
1176,"słyszałam",13789
1177,"jaja",13783
1178,"sprawdź",13753
1179,"moc",13748
1180,"chłopcze",13722
1181,"dosyć",13720
1182,"małą",13709
1183,"zobaczę",13705
1184,"żoną",13686
1185,"przyjaciela",13683
1186,"pewny",13665
1187,"ależ",13631
1188,"siadaj",13629
1189,"dobrego",13624
1190,"jadę",13603
1191,"osobą",13584
1192,"szef",13577
1193,"musiała",13576
1194,"filmu",13564
1195,"pójdziesz",13556
1196,"informacje",13548
1197,"bob",13539
1198,"lepsze",13537
1199,"przyjść",13523
1200,"szansa",13517
1201,"niesamowite",13514
1202,"wierzysz",13505
1203,"wspaniały",13469
1204,"prezent",13455
1205,"robicie",13447
1206,"hey",13446
1207,"jimmy",13414
1208,"żebyśmy",13408
1209,"dostałem",13390
1210,"paul",13389
1211,"sporo",13366
1212,"słuchać",13351
1213,"klucz",13330
1214,"usiądź",13323
1215,"list",13310
1216,"wieści",13309
1217,"miły",13304
1218,"policję",13301
1219,"zamiar",13284
1220,"zrozumiałem",13273
1221,"piękny",13261
1222,"jedyną",13243
1223,"lepszy",13238
1224,"kobiet",13222
1225,"statku",13207
1226,"alex",13206
1227,"światła",13203
1228,"psa",13156
1229,"witamy",13141
1230,"pójdziemy",13137
1231,"pomogę",13127
1232,"duże",13102
1233,"mary",13087
1234,"miesiąc",13082
1235,"szczęśliwy",13071
1236,"oko",13061
1237,"ładnie",13052
1238,"sensu",13049
1239,"całej",13049
1240,"więzienia",13047
1241,"przygotować",13030
1242,"podobno",13027
1243,"nową",13027
1244,"jedyny",13021
1245,"jakbym",13021
1246,"przejść",12995
1247,"potrzeba",12969
1248,"pójdzie",12961
1249,"pierwszym",12957
1250,"coraz",12957
1251,"drugie",12955
1252,"miałaś",12952
1253,"ktokolwiek",12947
1254,"boisz",12939
1255,"skończy",12937
1256,"mnóstwo",12930
1257,"bierz",12896
1258,"chcieli",12895
1259,"trudne",12875
1260,"peter",12856
1261,"nazywasz",12847
1262,"szukać",12840
1263,"dole",12839
1264,"chodziło",12836
1265,"potrafisz",12812
1266,"zapytać",12780
1267,"spotkamy",12769
1268,"wiedziałeś",12739
1269,"sytuacji",12706
1270,"max",12698
1271,"poproszę",12696
1272,"dziesięć",12687
1273,"ostatnia",12686
1274,"załatwić",12678
1275,"poszło",12677
1276,"buty",12675
1277,"podaj",12672
1278,"zabiłeś",12668
1279,"zajmie",12651
1280,"jazda",12646
1281,"zasady",12623
1282,"widziałaś",12614
1283,"książki",12607
1284,"koło",12603
1285,"pozwolę",12602
1286,"ostrożnie",12583
1287,"byłby",12534
1288,"wielkiego",12533
1289,"pracujesz",12532
1290,"zamknąć",12523
1291,"znajdź",12502
1292,"usłyszeć",12494
1293,"wybór",12494
1294,"bezpieczeństwa",12478
1295,"wejdź",12465
1296,"gry",12464
1297,"la",12458
1298,"słuchajcie",12457
1299,"zrobiłaś",12451
1300,"prosić",12417
1301,"odpowiedzi",12396
1302,"dobrą",12394
1303,"stara",12384
1304,"gotów",12376
1305,"obiad",12365
1306,"pięknie",12360
1307,"brakuje",12360
1308,"mowy",12357
1309,"jedyne",12356
1310,"zaczął",12354
1311,"drugą",12347
1312,"ognia",12335
1313,"pomyśl",12326
1314,"drinka",12326
1315,"własne",12306
1316,"atak",12305
1317,"prezydent",12304
1318,"prowadzi",12259
